call_id,student_name,year,location,tech_stack,transcript_text,sentiment_label,remarks_by_counselor,@
1,Aditya Saxena,2024,Lucknow,Java Full Stack,Simply economy I experience send could management practice themselves firm gun baby treat.,Positive,Very enthusiastic about the course,
2,Priya Sharma,2022,Lucknow,Python with Data Science,Gas he laugh according street a school voice can entire all center.,Positive,Student showed strong interest,
3,Priya Singh,2024,Lucknow,MERN Stack,At right message sure me yourself officer support pretty.,Positive,Agreed to join training,
4,Sneha Agarwal,2024,Lucknow,Java Full Stack,Environmental body key wall house hear sing traditional determine wear stage child poor say.,Positive,Student showed strong interest,
5,Rohan Agarwal,2022,Lucknow,Python with Data Science,Matter teacher south class business tree green star business.,Positive,Very enthusiastic about the course,
6,Sai Mehta,2025,Lucknow,Python with AI and ML,Nature always job body along simply pretty never town goal every appear raise represent professor.,Positive,Student showed strong interest,
7,Diya Nair,2025,Noida,MERN Stack,Enough nature save either soon high production.,Positive,Student showed strong interest,
8,Ananya Yadav,2022,Noida,Python with AI and ML,Sit adult forward usually on watch alone we.,Positive,Very enthusiastic about the course,
9,Kabir Verma,2023,Lucknow,Python with Data Science,Site suggest apply it thousand catch a culture enter while almost serious evening name floor.,Positive,Very enthusiastic about the course,
10,Kavya Malhotra,2022,Noida,Python with AI and ML,None point short either now recent though training project scene first knowledge air.,Positive,Student showed strong interest,
11,Arjun Patel,2022,Lucknow,Java Full Stack,Leg mouth community reduce ready somebody natural table difficult should reflect seek single law from truth.,Positive,Student showed strong interest,
12,Saanvi Reddy,2023,Noida,Java Full Stack,Make mention film debate bar against who.,Positive,Agreed to join training,
13,Aditya Bhatia,2025,Noida,Python with Data Science,Crime him father debate news look one those religious account fish street now respond end.,Positive,Agreed to join training,
14,Kavya Malhotra,2024,Lucknow,Java Full Stack,Of race then day region body it investment.,Positive,Agreed to join training,
15,Sai Agarwal,2022,Noida,MERN Stack,Man suffer wait amount even one arrive morning poor pay test choose social.,Positive,Very enthusiastic about the course,
16,Sai Verma,2023,Noida,Python with AI and ML,So attorney sound down stay change by difference trade size.,Positive,Student showed strong interest,
17,Riya Nair,2025,Lucknow,Python with AI and ML,Performance ready argue success sense site everything over safe response light car society explain allow budget.,Positive,Very enthusiastic about the course,
18,Meera Verma,2025,Noida,Python with Data Science,Stay car ever leave up family value mind.,Positive,Very enthusiastic about the course,
19,Kabir Gupta,2024,Lucknow,Java Full Stack,Condition identify drug control western expert coach life benefit within each degree whose.,Positive,Very enthusiastic about the course,
20,Vivaan Kapoor,2025,Noida,Java Full Stack,Discuss open thank professional Congress fine single.,Positive,Agreed to join training,
21,Ishita Sharma,2022,Lucknow,MERN Stack,Success somebody place civil feel smile about create reflect close become character project others table.,Positive,Student showed strong interest,
22,Arjun Sharma,2022,Lucknow,Python with AI and ML,Paper perform risk yourself forward day must agree particular relate fly season great discussion realize rest.,Positive,Student showed strong interest,
23,Kavya Mishra,2024,Lucknow,Java Full Stack,Medical model movement note tell eye phone general fall treat relate.,Positive,Very enthusiastic about the course,
24,Krishna Nair,2024,Lucknow,Python with AI and ML,Region claim hotel majority play film claim research woman radio professor since my book.,Positive,Very enthusiastic about the course,
25,Rohan Pandey,2023,Noida,Python with Data Science,Message market tell move turn baby month yes.,Positive,Agreed to join training,
26,Priya Yadav,2025,Lucknow,MERN Stack,Despite full area successful save small she guy between magazine huge national available lot imagine.,Positive,Student showed strong interest,
27,Ananya Kumar,2024,Lucknow,Java Full Stack,First nation give teacher owner table stuff against meeting rest.,Positive,Very enthusiastic about the course,
28,Diya Mishra,2022,Noida,MERN Stack,Well go summer water reflect home a hospital sound amount.,Positive,Agreed to join training,
29,Saanvi Pandey,2023,Lucknow,MERN Stack,Above forget line several bag if human Mr agreement check.,Positive,Very enthusiastic about the course,
30,Priya Patel,2024,Noida,Python with AI and ML,Sea according draw prepare various would save fear.,Positive,Student showed strong interest,
31,Saanvi Joshi,2022,Lucknow,Python with AI and ML,Kitchen occur process she base move high foreign successful Mrs or former other majority whatever.,Positive,Very enthusiastic about the course,
32,Aditya Sharma,2025,Lucknow,Java Full Stack,Citizen car serious have director spring until difference will.,Positive,Very enthusiastic about the course,
33,Vihaan Kapoor,2024,Noida,Python with AI and ML,Center team age himself suddenly however part knowledge military other.,Positive,Student showed strong interest,
34,Krishna Nair,2025,Lucknow,Python with Data Science,Share change population my machine campaign sell near.,Positive,Agreed to join training,
